sequence[0],sequence[1],sequence[2],sequence[3],sequence[4],key,timestamp,eventType,cursorPosition,inputValue
9,6,2,8,6,6,1731015173018.9001,keyup,5,96286
9,6,2,8,6,Enter,1731015173147.3,keydown,5,96286
1,6,1,9,6,1,1731015174106.9001,keyup,1,1
1,6,1,9,6,6,1731015174234.7002,keydown,1,1
1,6,1,9,6,6,1731015174290.8,keyup,2,16
1,6,1,9,6,1,1731015174482.7002,keydown,2,16
1,6,1,9,6,1,1731015174546.8,keyup,3,161
1,6,1,9,6,9,1731015175218.9001,keydown,3,161
1,6,1,9,6,9,1731015175290.9001,keyup,4,1619
1,6,1,9,6,6,1731015175450.9001,keydown,4,1619
1,6,1,9,6,6,1731015175514.9001,keyup,5,16196
1,6,1,9,6,Enter,1731015175658.9001,keydown,5,16196
5,4,2,8,7,5,1731015176778.9001,keyup,1,5
5,4,2,8,7,4,1731015176922.7002,keydown,1,5
5,4,2,8,7,4,1731015176994.8,keyup,2,54
5,4,2,8,7,2,1731015177154.8,keydown,2,54
5,4,2,8,7,2,1731015177218.8,keyup,3,542
5,4,2,8,7,8,1731015178011,keydown,3,542
5,4,2,8,7,8,1731015178066.6,keyup,4,5428
5,4,2,8,7,7,1731015178178.6,keydown,4,5428
5,4,2,8,7,7,1731015178250.8,keyup,5,54287
5,4,2,8,7,Enter,1731015178450.6,keydown,5,54287
3,9,4,2,6,3,1731015179506.8,keyup,1,3
3,9,4,2,6,9,1731015180130.9001,keydown,1,3
3,9,4,2,6,9,1731015180203.1,keyup,2,39
3,9,4,2,6,4,1731015180386.8,keydown,2,39
3,9,4,2,6,4,1731015180445,keyup,3,394
3,9,4,2,6,2,1731015181154.9001,keydown,3,394
3,9,4,2,6,2,1731015181218.8,keyup,4,3942
3,9,4,2,6,6,1731015181354.9001,keydown,4,3942
3,9,4,2,6,6,1731015181411,keyup,5,39426
3,9,4,2,6,Enter,1731015181594.7002,keydown,5,39426
2,4,3,0,9,2,1731015183434.6,keyup,1,2
2,4,3,0,9,4,1731015183610.6,keydown,1,2
2,4,3,0,9,4,1731015183674.5,keyup,2,24
2,4,3,0,9,3,1731015183866.7002,keydown,2,24
2,4,3,0,9,3,1731015183946.5,keyup,3,243
2,4,3,0,9,0,1731015184162.6,keydown,3,243
2,4,3,0,9,0,1731015184234.6,keyup,4,2430
2,4,3,0,9,9,1731015184466.7002,keydown,4,2430
2,4,3,0,9,9,1731015184514.5,keyup,5,24309
2,4,3,0,9,Enter,1731015184666.6,keydown,5,24309
6,3,8,9,8,6,1731015185858.7002,keyup,1,6
6,3,8,9,8,3,1731015187066.6,keydown,1,6
6,3,8,9,8,3,1731015187154.6,keyup,2,63
6,3,8,9,8,8,1731015187362.6,keydown,2,63
6,3,8,9,8,8,1731015187418.5,keyup,3,638
6,3,8,9,8,9,1731015188146.6,keydown,3,638
6,3,8,9,8,9,1731015188226.4001,keyup,4,6389
6,3,8,9,8,8,1731015188330.4001,keydown,4,6389
6,3,8,9,8,8,1731015188394.5,keyup,5,63898
6,3,8,9,8,Enter,1731015188538.4001,keydown,5,63898
6,5,4,3,9,6,1731015189746.4001,keyup,1,6
6,5,4,3,9,5,1731015189890.4001,keydown,1,6
6,5,4,3,9,5,1731015189946.5,keyup,2,65
6,5,4,3,9,4,1731015190122.5,keydown,2,65
6,5,4,3,9,4,1731015190178.3,keyup,3,654
6,5,4,3,9,3,1731015190642.5,keydown,3,654
6,5,4,3,9,3,1731015190722.4001,keyup,4,6543
6,5,4,3,9,9,1731015190938.6,keydown,4,6543
6,5,4,3,9,9,1731015190994.5,keyup,5,65439
6,5,4,3,9,Enter,1731015191170.7002,keydown,5,65439
2,1,2,1,5,2,1731015192154.3,keyup,1,2
2,1,2,1,5,1,1731015192298.3,keydown,1,2
2,1,2,1,5,1,1731015192362.4001,keyup,2,21
2,1,2,1,5,2,1731015192570.4001,keydown,2,21
2,1,2,1,5,2,1731015192634.5,keyup,3,212
2,1,2,1,5,1,1731015193010.8,keydown,3,212
2,1,2,1,5,1,1731015193082.4001,keyup,4,2121
2,1,2,1,5,5,1731015193250.4001,keydown,4,2121
2,1,2,1,5,5,1731015193306.4001,keyup,5,21215
2,1,2,1,5,Enter,1731015193474.4001,keydown,5,21215
1,8,0,3,2,1,1731015194410.3,keyup,1,1
1,8,0,3,2,8,1731015194546.4001,keydown,1,1
1,8,0,3,2,8,1731015194610.3,keyup,2,18
1,8,0,3,2,0,1731015194866.4001,keydown,2,18
1,8,0,3,2,0,1731015194938.4001,keyup,3,180
1,8,0,3,2,3,1731015195546.4001,keydown,3,180
1,8,0,3,2,3,1731015195610.3,keyup,4,1803
1,8,0,3,2,2,1731015195714.2002,keydown,4,1803
1,8,0,3,2,2,1731015195770.3,keyup,5,18032
1,8,0,3,2,Enter,1731015195882.1,keydown,5,18032
7,6,7,9,5,7,1731015197034.3,keyup,1,7
7,6,7,9,5,6,1731015197258.3,keydown,1,7
7,6,7,9,5,6,1731015197322.3,keyup,2,76
7,6,7,9,5,7,1731015197522.1,keydown,2,76
7,6,7,9,5,7,1731015197578.3,keyup,3,767
7,6,7,9,5,9,1731015198170.3,keydown,3,767
7,6,7,9,5,9,1731015198218.2002,keyup,4,7679
7,6,7,9,5,5,1731015198426.2002,keydown,4,7679
7,6,7,9,5,5,1731015198482.2002,keyup,5,76795
7,6,7,9,5,Enter,1731015198642.3,keydown,5,76795
9,0,6,0,5,9,1731015199746.3,keyup,1,9
9,0,6,0,5,0,1731015199954.1,keydown,1,9
9,0,6,0,5,0,1731015200034.3,keyup,2,90
9,0,6,0,5,6,1731015200178.3,keydown,2,90
9,0,6,0,5,6,1731015200234.1,keyup,3,906
9,0,6,0,5,0,1731015200634.4001,keydown,3,906
9,0,6,0,5,0,1731015200714.2002,keyup,4,9060
9,0,6,0,5,5,1731015200890.1,keydown,4,9060
9,0,6,0,5,5,1731015200946,keyup,5,90605
9,0,6,0,5,Enter,1731015201114.2002,keydown,5,90605
3,1,8,0,1,3,1731015202106.2002,keyup,1,3
3,1,8,0,1,1,1731015202266.3,keydown,1,3
3,1,8,0,1,1,1731015202330.1,keyup,2,31
3,1,8,0,1,8,1731015202466,keydown,2,31
3,1,8,0,1,8,1731015202522,keyup,3,318
3,1,8,0,1,0,1731015202954.2002,keydown,3,318
3,1,8,0,1,0,1731015203026.2002,keyup,4,3180
3,1,8,0,1,1,1731015203178.3,keydown,4,3180
3,1,8,0,1,1,1731015203242.2002,keyup,5,31801
3,1,8,0,1,Enter,1731015203378.4001,keydown,5,31801
7,0,4,1,4,7,1731015204450.1,keyup,1,7
7,0,4,1,4,0,1731015204690,keydown,1,7
7,0,4,1,4,0,1731015204754.1,keyup,2,70
7,0,4,1,4,4,1731015204978.3,keydown,2,70
7,0,4,1,4,4,1731015205034.1,keyup,3,704
7,0,4,1,4,1,1731015205306.3,keydown,3,704
7,0,4,1,4,1,1731015205370,keyup,4,7041
7,0,4,1,4,4,1731015205554,keydown,4,7041
7,0,4,1,4,4,1731015205610.1,keyup,5,70414
7,0,4,1,4,Enter,1731015205762,keydown,5,70414
7,4,1,8,1,7,1731015206986,keyup,1,7
7,4,1,8,1,4,1731015207122.1,keydown,1,7
7,4,1,8,1,4,1731015207194,keyup,2,74
7,4,1,8,1,1,1731015207362.1,keydown,2,74
7,4,1,8,1,1,1731015207433.9001,keyup,3,741
7,4,1,8,1,8,1731015207914.1,keydown,3,741
7,4,1,8,1,8,1731015207969.9001,keyup,4,7418
7,4,1,8,1,1,1731015208162.1,keydown,4,7418
7,4,1,8,1,1,1731015208226,keyup,5,74181
7,4,1,8,1,Enter,1731015208354,keydown,5,74181
8,9,6,0,7,8,1731015210265.8,keyup,1,8
8,9,6,0,7,9,1731015210418,keydown,1,8
8,9,6,0,7,9,1731015210481.8,keyup,2,89
8,9,6,0,7,6,1731015210689.9001,keydown,2,89
8,9,6,0,7,6,1731015210753.8,keyup,3,896
8,9,6,0,7,0,1731015211146,keydown,3,896
8,9,6,0,7,0,1731015211233.9001,keyup,4,8960
8,9,6,0,7,7,1731015211513.9001,keydown,4,8960
8,9,6,0,7,7,1731015211577.9001,keyup,5,89607
8,9,6,0,7,Enter,1731015211746,keydown,5,89607
0,8,4,2,7,0,1731015212697.8,keyup,1,0
0,8,4,2,7,8,1731015212969.9001,keydown,1,0
0,8,4,2,7,8,1731015213025.9001,keyup,2,08
0,8,4,2,7,4,1731015213185.9001,keydown,2,08
0,8,4,2,7,4,1731015213249.8,keyup,3,084
0,8,4,2,7,2,1731015213649.9001,keydown,3,084
0,8,4,2,7,2,1731015213721.8,keyup,4,0842
0,8,4,2,7,7,1731015213929.9001,keydown,4,0842
0,8,4,2,7,7,1731015213985.8,keyup,5,08427
0,8,4,2,7,Enter,1731015214170,keydown,5,08427
6,0,3,9,3,6,1731015215265.9001,keyup,1,6
6,0,3,9,3,0,1731015215449.8,keydown,1,6
6,0,3,9,3,0,1731015215521.8,keyup,2,60
6,0,3,9,3,3,1731015215689.7002,keydown,2,60
6,0,3,9,3,3,1731015215753.7002,keyup,3,603
6,0,3,9,3,9,1731015216194,keydown,3,603
6,0,3,9,3,9,1731015216257.8,keyup,4,6039
6,0,3,9,3,3,1731015216442,keydown,4,6039
6,0,3,9,3,3,1731015216497.8,keyup,5,60393
6,0,3,9,3,Enter,1731015216649.8,keydown,5,60393
9,2,4,5,2,9,1731015217785.6,keyup,1,9
9,2,4,5,2,2,1731015217961.5,keydown,1,9
9,2,4,5,2,2,1731015218025.8,keyup,2,92
9,2,4,5,2,4,1731015218217.5,keydown,2,92
9,2,4,5,2,4,1731015218273.7002,keyup,3,924
9,2,4,5,2,5,1731015218889.7002,keydown,3,924
9,2,4,5,2,5,1731015218945.7002,keyup,4,9245
9,2,4,5,2,2,1731015219601.9001,keydown,4,9245
9,2,4,5,2,2,1731015219657.6,keyup,5,92452
9,2,4,5,2,Enter,1731015219801.5,keydown,5,92452
7,2,6,2,8,7,1731015220905.5,keyup,1,7
7,2,6,2,8,2,1731015221169.9001,keydown,1,7
7,2,6,2,8,2,1731015221233.7002,keyup,2,72
7,2,6,2,8,6,1731015221465.7002,keydown,2,72
7,2,6,2,8,6,1731015221521.7002,keyup,3,726
7,2,6,2,8,2,1731015222297.7002,keydown,3,726
7,2,6,2,8,2,1731015222361.5,keyup,4,7262
7,2,6,2,8,8,1731015222545.7002,keydown,4,7262
7,2,6,2,8,8,1731015222609.7002,keyup,5,72628
7,2,6,2,8,Enter,1731015222801.5,keydown,5,72628
3,1,3,6,5,3,1731015223689.5,keyup,1,3
3,1,3,6,5,1,1731015223841.4001,keydown,1,3
3,1,3,6,5,1,1731015223897.4001,keyup,2,31
3,1,3,6,5,3,1731015224073.7002,keydown,2,31
3,1,3,6,5,3,1731015224137.7002,keyup,3,313
3,1,3,6,5,6,1731015224617.6,keydown,3,313
3,1,3,6,5,6,1731015224689.5,keyup,4,3136
3,1,3,6,5,5,1731015224769.4001,keydown,4,3136
3,1,3,6,5,5,1731015224841.4001,keyup,5,31365
3,1,3,6,5,Enter,1731015224993.3,keydown,5,31365
0,7,6,4,6,0,1731015226089.4001,keyup,1,0
0,7,6,4,6,7,1731015226353.6,keydown,1,0
0,7,6,4,6,7,1731015226409.6,keyup,2,07
0,7,6,4,6,6,1731015226561.5,keydown,2,07
0,7,6,4,6,6,1731015226641.6,keyup,3,076
0,7,6,4,6,4,1731015227361.6,keydown,3,076
0,7,6,4,6,4,1731015227425.5,keyup,4,0764
0,7,6,4,6,6,1731015227601.6,keydown,4,0764
0,7,6,4,6,6,1731015227657.5,keyup,5,07646
0,7,6,4,6,Enter,1731015227833.3,keydown,5,07646
4,9,5,1,8,4,1731015228961.6,keyup,1,4
4,9,5,1,8,9,1731015229114.2002,keydown,1,4
4,9,5,1,8,9,1731015229177.5,keyup,2,49
4,9,5,1,8,5,1731015229345.7002,keydown,2,49
4,9,5,1,8,5,1731015229409.5,keyup,3,495
4,9,5,1,8,1,1731015229697.6,keydown,3,495
4,9,5,1,8,1,1731015229777.5,keyup,4,4951
4,9,5,1,8,8,1731015229969.5,keydown,4,4951
4,9,5,1,8,8,1731015230025.8,keyup,5,49518
4,9,5,1,8,Enter,1731015230225.5,keydown,5,49518
0,2,5,8,5,0,1731015231169.4001,keyup,1,0
0,2,5,8,5,2,1731015231329.5,keydown,1,0
0,2,5,8,5,2,1731015231393.4001,keyup,2,02
0,2,5,8,5,5,1731015231553.5,keydown,2,02
0,2,5,8,5,5,1731015231617.3,keyup,3,025
0,2,5,8,5,8,1731015232361.5,keydown,3,025
0,2,5,8,5,8,1731015232433.4001,keyup,4,0258
0,2,5,8,5,5,1731015232617.5,keydown,4,0258
0,2,5,8,5,5,1731015232681.3,keyup,5,02585
0,2,5,8,5,Enter,1731015232817.4001,keydown,5,02585
8,1,5,6,3,8,1731015234145.2002,keyup,1,8
8,1,5,6,3,1,1731015234337.4001,keydown,1,8
8,1,5,6,3,1,1731015234409.3,keyup,2,81
8,1,5,6,3,5,1731015234505.5,keydown,2,81
8,1,5,6,3,5,1731015234569.4001,keyup,3,815
8,1,5,6,3,6,1731015235249.4001,keydown,3,815
8,1,5,6,3,6,1731015235321.5,keyup,4,8156
8,1,5,6,3,3,1731015235465.3,keydown,4,8156
8,1,5,6,3,3,1731015235521.3,keyup,5,81563
8,1,5,6,3,Enter,1731015235641.2002,keydown,5,81563
1,3,0,7,6,1,1731015236617.3,keyup,1,1
1,3,0,7,6,3,1731015236761.1,keydown,1,1
1,3,0,7,6,3,1731015236825.4001,keyup,2,13
1,3,0,7,6,0,1731015236993.2002,keydown,2,13
1,3,0,7,6,0,1731015237057.2002,keyup,3,130
1,3,0,7,6,7,1731015237497.6,keydown,3,130
1,3,0,7,6,7,1731015237569.3,keyup,4,1307
1,3,0,7,6,6,1731015238273.5,keydown,4,1307
1,3,0,7,6,6,1731015238329.3,keyup,5,13076
1,3,0,7,6,Enter,1731015238529.3,keydown,5,13076
3,6,3,9,5,3,1731015239729.3,keyup,1,3
3,6,3,9,5,6,1731015240185.4001,keydown,1,3
3,6,3,9,5,6,1731015240249.5,keyup,2,36
3,6,3,9,5,3,1731015240433.3,keydown,2,36
3,6,3,9,5,3,1731015240513.2002,keyup,3,363
3,6,3,9,5,9,1731015240777.4001,keydown,3,363
3,6,3,9,5,9,1731015240849.2002,keyup,4,3639
3,6,3,9,5,5,1731015241009.2002,keydown,4,3639
3,6,3,9,5,5,1731015241065.6,keyup,5,36395
3,6,3,9,5,Enter,1731015241177.3,keydown,5,36395
4,9,4,7,4,4,1731015242457.1,keyup,1,4
4,9,4,7,4,9,1731015243057.2002,keydown,1,4
4,9,4,7,4,9,1731015243113.4001,keyup,2,49
4,9,4,7,4,4,1731015243329.1,keydown,2,49
4,9,4,7,4,4,1731015243377.2002,keyup,3,494
4,9,4,7,4,7,1731015243777.2002,keydown,3,494
4,9,4,7,4,7,1731015243833,keyup,4,4947
4,9,4,7,4,4,1731015243985.2002,keydown,4,4947
4,9,4,7,4,4,1731015244049.1,keyup,5,49474
4,9,4,7,4,Enter,1731015244168.8,keydown,5,49474
6,2,8,7,2,6,1731015245529,keyup,1,6
6,2,8,7,2,2,1731015245697.1,keydown,1,6
6,2,8,7,2,2,1731015245768.9001,keyup,2,62
6,2,8,7,2,8,1731015246033.2002,keydown,2,62
6,2,8,7,2,8,1731015246096.9001,keyup,3,628
6,2,8,7,2,7,1731015246793.2002,keydown,3,628
6,2,8,7,2,7,1731015246840.9001,keyup,4,6287
6,2,8,7,2,2,1731015247073.1,keydown,4,6287
6,2,8,7,2,2,1731015247136.9001,keyup,5,62872
6,2,8,7,2,Enter,1731015247233,keydown,5,62872
3,9,1,8,1,3,1731015248329,keyup,1,3
3,9,1,8,1,9,1731015248529,keydown,1,3
3,9,1,8,1,9,1731015248601,keyup,2,39
3,9,1,8,1,1,1731015248809.1,keydown,2,39
3,9,1,8,1,1,1731015248872.9001,keyup,3,391
3,9,1,8,1,8,1731015249369,keydown,3,391
3,9,1,8,1,8,1731015249425,keyup,4,3918
3,9,1,8,1,1,1731015249609.1,keydown,4,3918
3,9,1,8,1,1,1731015249673,keyup,5,39181
3,9,1,8,1,Enter,1731015249769,keydown,5,39181
7,0,7,1,4,7,1731015250825.2002,keyup,1,7
7,0,7,1,4,0,1731015251041.1,keydown,1,7
7,0,7,1,4,0,1731015251121,keyup,2,70
7,0,7,1,4,7,1731015251352.8,keydown,2,70
7,0,7,1,4,7,1731015251400.9001,keyup,3,707
7,0,7,1,4,1,1731015251777,keydown,3,707
7,0,7,1,4,1,1731015251840.8,keyup,4,7071
7,0,7,1,4,4,1731015251969,keydown,4,7071
7,0,7,1,4,4,1731015252024.8,keyup,5,70714
7,0,7,1,4,Enter,1731015252176.9001,keydown,5,70714
9,4,1,5,3,9,1731015253345.1,keyup,1,9
9,4,1,5,3,4,1731015253504.9001,keydown,1,9
9,4,1,5,3,4,1731015253560.8,keyup,2,94
9,4,1,5,3,1,1731015253760.9001,keydown,2,94
9,4,1,5,3,1,1731015253816.8,keyup,3,941
9,4,1,5,3,5,1731015254400.9001,keydown,3,941
9,4,1,5,3,5,1731015254456.9001,keyup,4,9415
9,4,1,5,3,3,1731015254624.9001,keydown,4,9415
9,4,1,5,3,3,1731015254688.8,keyup,5,94153
9,4,1,5,3,Enter,1731015254872.9001,keydown,5,94153
9,0,9,5,8,9,1731015255944.8,keyup,1,9
9,0,9,5,8,0,1731015256168.8,keydown,1,9
9,0,9,5,8,0,1731015256232.7002,keyup,2,90
9,0,9,5,8,9,1731015256440.9001,keydown,2,90
9,0,9,5,8,9,1731015256496.6,keyup,3,909
9,0,9,5,8,5,1731015256984.8,keydown,3,909
9,0,9,5,8,5,1731015257048.9001,keyup,4,9095
9,0,9,5,8,8,1731015257208.8,keydown,4,9095
9,0,9,5,8,8,1731015257272.8,keyup,5,90958
9,0,9,5,8,Enter,1731015257456.8,keydown,5,90958
0,2,0,5,2,0,1731015258536.7002,keyup,1,0
0,2,0,5,2,2,1731015258696.6,keydown,1,0
0,2,0,5,2,2,1731015258768.9001,keyup,2,02
0,2,0,5,2,0,1731015258968.8,keydown,2,02
0,2,0,5,2,0,1731015259040.7002,keyup,3,020
0,2,0,5,2,5,1731015259392.8,keydown,3,020
0,2,0,5,2,5,1731015259448.6,keyup,4,0205
0,2,0,5,2,2,1731015259592.5,keydown,4,0205
0,2,0,5,2,2,1731015259664.6,keyup,5,02052
0,2,0,5,2,Enter,1731015259760.7002,keydown,5,02052
8,4,8,4,2,8,1731015260912.6,keyup,1,8
8,4,8,4,2,4,1731015261088.7002,keydown,1,8
8,4,8,4,2,4,1731015261176.7002,keyup,2,84
8,4,8,4,2,8,1731015261305,keydown,2,84
8,4,8,4,2,8,1731015261376.6,keyup,3,848
8,4,8,4,2,4,1731015262024.7002,keydown,3,848
8,4,8,4,2,4,1731015262096.5,keyup,4,8484
8,4,8,4,2,2,1731015262256.6,keydown,4,8484
8,4,8,4,2,2,1731015262312.7002,keyup,5,84842
8,4,8,4,2,Enter,1731015262472.4001,keydown,5,84842
0,3,7,1,9,0,1731015263464.6,keyup,1,0
0,3,7,1,9,3,1731015263608.4001,keydown,1,0
0,3,7,1,9,3,1731015263680.5,keyup,2,03
0,3,7,1,9,7,1731015263944.7002,keydown,2,03
0,3,7,1,9,7,1731015264000.5,keyup,3,037
0,3,7,1,9,1,1731015264736.6,keydown,3,037
0,3,7,1,9,1,1731015264800.5,keyup,4,0371
0,3,7,1,9,9,1731015265304.6,keydown,4,0371
0,3,7,1,9,9,1731015265368.7002,keyup,5,03719
0,3,7,1,9,Enter,1731015265784.6,keydown,5,03719
7,4,9,8,3,7,1731015267184.5,keyup,1,7
7,4,9,8,3,4,1731015267352.5,keydown,1,7
7,4,9,8,3,4,1731015267416.7002,keyup,2,74
7,4,9,8,3,9,1731015267592.4001,keydown,2,74
7,4,9,8,3,9,1731015267656.3,keyup,3,749
7,4,9,8,3,8,1731015268480.6,keydown,3,749
7,4,9,8,3,8,1731015268544.4001,keyup,4,7498
7,4,9,8,3,3,1731015268752.3,keydown,4,7498
7,4,9,8,3,3,1731015268808.4001,keyup,5,74983
7,4,9,8,3,Enter,1731015268976.5,keydown,5,74983
8,3,6,1,2,8,1731015270528.3,keyup,1,8
8,3,6,1,2,3,1731015270832.3,keydown,1,8
8,3,6,1,2,3,1731015270912.4001,keyup,2,83
8,3,6,1,2,6,1731015271064.6,keydown,2,83
8,3,6,1,2,6,1731015271120.3,keyup,3,836
8,3,6,1,2,1,1731015271520.4001,keydown,3,836
8,3,6,1,2,1,1731015271584.3,keyup,4,8361
8,3,6,1,2,2,1731015271704.4001,keydown,4,8361
8,3,6,1,2,2,1731015271776.6,keyup,5,83612
8,3,6,1,2,Enter,1731015271960.6,keydown,5,83612
1,0,3,0,5,1,1731015273256.4001,keyup,1,1
1,0,3,0,5,0,1731015273432.4001,keydown,1,1
1,0,3,0,5,0,1731015273504.4001,keyup,2,10
1,0,3,0,5,3,1731015273688.3,keydown,2,10
1,0,3,0,5,3,1731015273744.2002,keyup,3,103
1,0,3,0,5,0,1731015274408.4001,keydown,3,103
1,0,3,0,5,0,1731015274480.4001,keyup,4,1030
1,0,3,0,5,5,1731015274672.3,keydown,4,1030
1,0,3,0,5,5,1731015274728.1,keyup,5,10305
1,0,3,0,5,Enter,1731015274904.2002,keydown,5,10305
9,2,5,2,9,8,1731015276096.3,keyup,1,8
9,2,5,2,9,2,1731015276312.2002,keydown,1,8
9,2,5,2,9,2,1731015276384.1,keyup,2,82
9,2,5,2,9,5,1731015276528.2002,keydown,2,82
9,2,5,2,9,5,1731015276576.2002,keyup,3,825
9,2,5,2,9,2,1731015277056.3,keydown,3,825
9,2,5,2,9,2,1731015277128.3,keyup,4,8252
9,2,5,2,9,9,1731015277328.2002,keydown,4,8252
9,2,5,2,9,9,1731015277384.2002,keyup,5,82529
9,2,5,2,9,Enter,1731015278800.4001,keydown,5,82529
1,0,5,6,3,1,1731015280192.1,keyup,1,1
1,0,5,6,3,0,1731015280400,keydown,1,1
1,0,5,6,3,0,1731015280472.1,keyup,2,10
1,0,5,6,3,5,1731015280968.1,keydown,2,10
1,0,5,6,3,5,1731015281032.2002,keyup,3,105
1,0,5,6,3,6,1731015281528.4001,keydown,3,105
1,0,5,6,3,6,1731015281592.1,keyup,4,1056
1,0,5,6,3,3,1731015281728.2002,keydown,4,1056
1,0,5,6,3,3,1731015281784,keyup,5,10563
1,0,5,6,3,Enter,1731015281928,keydown,5,10563
6,5,4,7,9,6,1731015283088.1,keyup,1,6
6,5,4,7,9,5,1731015283240.4001,keydown,1,6
6,5,4,7,9,5,1731015283304.6,keyup,2,65
6,5,4,7,9,4,1731015283480.1,keydown,2,65
6,5,4,7,9,4,1731015283545.2002,keyup,3,654
6,5,4,7,9,7,1731015284027.5,keydown,3,654
6,5,4,7,9,7,1731015284096.1,keyup,4,6547
6,5,4,7,9,9,1731015284224.1,keydown,4,6547
6,5,4,7,9,9,1731015284304.5,keyup,5,65479
6,5,4,7,9,Enter,1731015284496.1,keydown,5,65479
6,2,9,3,4,6,1731015286064.1,keyup,1,6
